country_of_origin,Continent,Category,Rating
Ethiopia,Africa,body,7.5
Brazil,Americas,body,7
Honduras,Americas,body,7.42
Mexico,North America,body,7.33
Myanmar,Asia,body,7.08
Myanmar,Asia,body,7.17
Nicaragua,Americas,body,7.5
United States (Hawaii),North America,body,7.42
Colombia,Americas,body,8.08
Taiwan,Asia,body,7.17
Guatemala,Americas,body,7
Mexico,North America,body,6.75
Vietnam,Asia,body,7.42
Nicaragua,Americas,body,7.25
Honduras,Americas,body,7.08
Guatemala,Americas,body,7.17
Mexico,North America,body,7.25
Mexico,North America,body,7.08
Mexico,North America,body,7.25
Guatemala,Americas,body,7
United States (Hawaii),North America,body,7.67
Brazil,Americas,body,7.25
Taiwan,Asia,body,7
Nicaragua,Americas,body,7.17
Taiwan,Asia,body,7.08
Taiwan,Asia,body,7.25
Taiwan,Asia,body,7.17
Mexico,North America,body,7.08
Mexico,North America,body,7.33
Nicaragua,Americas,body,7.42
Myanmar,Asia,body,7.17
Mexico,North America,body,7.5
Taiwan,Asia,body,7.25
Thailand,Asia,body,7.42
Mexico,North America,body,7.33
Mexico,North America,body,7.08
Ethiopia,Africa,body,7.75
Colombia,Americas,body,7.83
United States (Hawaii),North America,body,7.33
Mexico,North America,body,7.42
Mexico,North America,body,7.33
Mexico,North America,body,7.25
Mexico,North America,body,7.5
Mexico,North America,body,7.17
Mexico,North America,body,7.33
United States (Hawaii),North America,body,7.5
Kenya,Africa,body,7.25
Guatemala,Americas,body,7.25
Nicaragua,Americas,body,7.5
Mexico,North America,body,7.5
United States (Hawaii),North America,body,7.5
Guatemala,Americas,body,7.33
Taiwan,Asia,body,7.67
Taiwan,Asia,body,7.17
Thailand,Asia,body,7.08
Peru,Americas,body,7.5
Costa Rica,Americas,body,7.67
Mexico,North America,body,7.5
Mexico,North America,body,7.5
Mexico,North America,body,7.17
Mexico,North America,body,7.17
Mexico,North America,body,7.08
Guatemala,Americas,body,7
Mexico,North America,body,7.25
Guatemala,Americas,body,7.42
El Salvador,Americas,body,7.33
Thailand,Asia,body,7.17
Guatemala,Americas,body,7.08
Mexico,North America,body,7.17
Mexico,North America,body,7.08
Mexico,North America,body,7.08
Thailand,Asia,body,7.25
Mexico,North America,body,7.25
Mexico,North America,body,7.25
Colombia,Americas,body,7.17
Guatemala,Americas,body,7.25
Nicaragua,Americas,body,7.25
Taiwan,Asia,body,7.42
Colombia,Americas,body,7.67
Mexico,North America,body,7.58
Mexico,North America,body,7.17
Guatemala,Americas,body,7.33
Guatemala,Americas,body,7
Mexico,North America,body,7.33
Cote d?Ivoire,Africa,body,7.33
Colombia,Americas,body,7.42
Mexico,North America,body,7.42
Mexico,North America,body,7.08
Guatemala,Americas,body,7.58
Taiwan,Asia,body,7.42
Mexico,North America,body,7.17
Guatemala,Americas,body,7.5
Honduras,Americas,body,7
Guatemala,Americas,body,7
Guatemala,Americas,body,7
Costa Rica,Americas,body,7.25
Mexico,North America,body,7.17
Mexico,North America,body,7.17
Mexico,North America,body,7.58
Guatemala,Americas,body,7.67
United States (Puerto Rico),North America,body,7.33
Mexico,North America,body,7.33
Mexico,North America,body,7.42
Mexico,North America,body,7.25
Guatemala,Americas,body,7.08
Honduras,Americas,body,7
Peru,Americas,body,8
Mexico,North America,body,7.17
Mexico,North America,body,7.25
Mexico,North America,body,7.17
Mexico,North America,body,7.17
Mexico,North America,body,6.92
Nicaragua,Americas,body,7
United States (Hawaii),North America,body,7.58
Guatemala,Americas,body,7
Mexico,North America,body,7.17
Mexico,North America,body,7.08
Mexico,North America,body,7.58
China,Asia,body,7.17
Mexico,North America,body,7.17
Nicaragua,Americas,body,7.08
Nicaragua,Americas,body,7.25
Guatemala,Americas,body,7.25
Taiwan,Asia,body,7
Mexico,North America,body,6.92
Mexico,North America,body,7.92
United States (Hawaii),North America,body,6.75
Mexico,North America,body,7.25
Mexico,North America,body,7
Mexico,North America,body,7.58
Brazil,Americas,body,6.92
Mexico,North America,body,7.33
United States (Hawaii),North America,body,7.92
Guatemala,Americas,body,7.17
Guatemala,Americas,body,7
Mexico,North America,body,7.33
Guatemala,Americas,body,7.33
United States (Hawaii),North America,body,7.5
United States (Hawaii),North America,body,7.67
Indonesia,Asia,body,6.92
Mexico,North America,body,7.25
Taiwan,Asia,body,7.5
Honduras,Americas,body,7
United States (Hawaii),North America,body,7.5
Guatemala,Americas,body,7
China,Asia,body,7.33
Guatemala,Americas,body,6.67
Mexico,North America,body,7.25
Colombia,Americas,body,7.67
Costa Rica,Americas,body,7.08
Mexico,North America,body,7.25
Guatemala,Americas,body,7.33
Nicaragua,Americas,body,7.08
Brazil,Americas,body,7.08
Guatemala,Americas,body,6.83
Taiwan,Asia,body,7.33
United States (Hawaii),North America,body,7.42
Mexico,North America,body,6.83
Guatemala,Americas,body,6.92
Brazil,Americas,body,7.58
Guatemala,Americas,body,7.17
Mexico,North America,body,6.92
Haiti,Americas,body,6.92
United States (Hawaii),North America,body,7.58
Mexico,North America,body,7.33
Peru,Americas,body,7.92
India,Asia,body,7.17
Mexico,North America,body,7
Guatemala,Americas,body,6.33
Mexico,North America,body,7.25
Guatemala,Americas,body,7.17
Guatemala,Americas,body,7
United States (Hawaii),North America,body,7.33
United States (Hawaii),North America,body,7.67
Mexico,North America,body,6.92
Indonesia,Asia,body,7.58
Mexico,North America,body,7.17
Honduras,Americas,body,7
Philippines,Asia,body,6.75
Brazil,Americas,body,7.17
Guatemala,Americas,body,7.33
Guatemala,Americas,body,7.17
Mexico,North America,body,7.17
Mexico,North America,body,7.25
Mexico,North America,body,7.17
Mexico,North America,body,7.42
Mexico,North America,body,7.17
Mexico,North America,body,7
Mexico,North America,body,7.5
Guatemala,Americas,body,7.25
Guatemala,Americas,body,7
Mexico,North America,body,7.33
United States (Hawaii),North America,body,7.42
Guatemala,Americas,body,7.33
Mexico,North America,body,7.08
Mexico,North America,body,7.25
Mexico,North America,body,7.33
United States (Hawaii),North America,body,7.67
Brazil,Americas,body,7
Honduras,Americas,body,7
Mexico,North America,body,6.92
Colombia,Americas,body,7.42
United States (Hawaii),North America,body,7.58
Haiti,Americas,body,7.33
Costa Rica,Americas,body,6.33
Mexico,North America,body,7.17
Mexico,North America,body,7.33
Mexico,North America,body,7.42
Brazil,Americas,body,7.33
Honduras,Americas,body,6.83
Honduras,Americas,body,6.5
Honduras,Americas,body,6.67
Mexico,North America,body,7.25
Haiti,Americas,body,7.08
Nicaragua,Americas,body,6.42
Guatemala,Americas,body,7.33
Honduras,Americas,body,0
Uganda,Africa,body,8.25
India,Asia,body,7.92
India,Asia,body,7.83
Uganda,Africa,body,7.83
Uganda,Africa,body,8.25
India,Asia,body,7.75
India,Asia,body,7.92
India,Asia,body,7.92
India,Asia,body,7.83
Uganda,Africa,body,7.92
Uganda,Africa,body,7.5
India,Asia,body,7.75
India,Asia,body,7.67
Uganda,Africa,body,7.67
Uganda,Africa,body,7.67
India,Asia,body,7.58
India,Asia,body,7.67
Uganda,Africa,body,7.75
Uganda,Africa,body,7.5
Uganda,Africa,body,7.67
India,Asia,body,7.58
India,Asia,body,7.42
United States,North America,body,7.42
Ecuador,Americas,body,5.08
Ecuador,Americas,body,5.17
United States,North America,body,7.5
India,Asia,body,7.25
Vietnam,Asia,body,6.92
Ethiopia,Africa,balance,8.42
Ethiopia,Africa,balance,8.42
Guatemala,Americas,balance,8.42
Ethiopia,Africa,balance,8.25
Ethiopia,Africa,balance,8.33
Brazil,Americas,balance,8.33
Peru,Americas,balance,8.25
Ethiopia,Africa,balance,8.5
Ethiopia,Africa,balance,8.42
Ethiopia,Africa,balance,8.42
Ethiopia,Africa,balance,8.17
United States,North America,balance,8.17
United States,North America,balance,8.08
United States (Hawaii),North America,balance,8
Ethiopia,Africa,balance,8.75
United States,North America,balance,8
Indonesia,Asia,balance,8.42
Ethiopia,Africa,balance,8.33
China,Asia,balance,8
Ethiopia,Africa,balance,8.33
United States,North America,balance,8
Costa Rica,Americas,balance,8.33
Mexico,North America,balance,8.17
United States,North America,balance,8.17
Ethiopia,Africa,balance,8
Brazil,Americas,balance,8
Ethiopia,Africa,balance,8.17
Uganda,Africa,balance,7.92
Honduras,Americas,balance,8
Taiwan,Asia,balance,8.17
Nicaragua,Americas,balance,8.08
"Tanzania, United Republic Of",Africa,balance,8
Brazil,Americas,balance,8
Costa Rica,Americas,balance,8
Ethiopia,Africa,balance,8.08
Kenya,Africa,balance,7.92
United States (Hawaii),North America,balance,7.83
United States (Hawaii),North America,balance,7.83
Ethiopia,Africa,balance,8.17
United States,North America,balance,8.08
Thailand,Asia,balance,7.92
Brazil,Americas,balance,8
Brazil,Americas,balance,8
Taiwan,Asia,balance,7.83
Kenya,Africa,balance,8.08
Brazil,Americas,balance,8
Uganda,Africa,balance,7.92
Colombia,Americas,balance,8.17
Kenya,Africa,balance,7.92
Uganda,Africa,balance,7.92
Ethiopia,Africa,balance,8
United States (Hawaii),North America,balance,7.83
Guatemala,Americas,balance,7.83
Uganda,Africa,balance,7.75
Colombia,Americas,balance,8
Panama,Americas,balance,8
Ethiopia,Africa,balance,7.92
Guatemala,Americas,balance,8
Guatemala,Americas,balance,7.83
Ethiopia,Africa,balance,8
Peru,Americas,balance,7.75
Papua New Guinea,Oceania,balance,8.25
El Salvador,Americas,balance,7.83
El Salvador,Americas,balance,8.17
United States (Hawaii),North America,balance,8
Panama,Americas,balance,8.58
Kenya,Africa,balance,7.92
Ethiopia,Africa,balance,8.08
Uganda,Africa,balance,7.92
Guatemala,Americas,balance,8
Ethiopia,Africa,balance,7.83
Uganda,Africa,balance,7.83
United States (Hawaii),North America,balance,7.92
Brazil,Americas,balance,8
El Salvador,Americas,balance,7.83
China,Asia,balance,7.75
Guatemala,Americas,balance,8.58
Costa Rica,Americas,balance,8.08
Costa Rica,Americas,balance,8.5
Kenya,Africa,balance,7.75
Kenya,Africa,balance,7.75
Ethiopia,Africa,balance,7.83
Ethiopia,Africa,balance,7.75
Guatemala,Americas,balance,7.83
Colombia,Americas,balance,7.83
Colombia,Americas,balance,7.92
Indonesia,Asia,balance,7.83
Guatemala,Americas,balance,7.67
Ethiopia,Africa,balance,7.92
Colombia,Americas,balance,7.75
Ethiopia,Africa,balance,7.92
United States (Hawaii),North America,balance,8.17
Colombia,Americas,balance,7.83
United States (Hawaii),North America,balance,8
Ethiopia,Africa,balance,7.83
United States (Hawaii),North America,balance,7.75
Uganda,Africa,balance,7.75
Colombia,Americas,balance,7.83
Costa Rica,Americas,balance,7.83
Mexico,North America,balance,7.83
Kenya,Africa,balance,7.83
Kenya,Africa,balance,7.75
Brazil,Americas,balance,7.67
Mexico,North America,balance,7.83
United States (Hawaii),North America,balance,8
Guatemala,Americas,balance,7.67
Colombia,Americas,balance,7.83
Colombia,Americas,balance,8
Taiwan,Asia,balance,7.92
"Tanzania, United Republic Of",Africa,balance,7.75
Colombia,Americas,balance,8
Mexico,North America,balance,7.92
Brazil,Americas,balance,7.75
Brazil,Americas,balance,7.75
Kenya,Africa,balance,7.75
Taiwan,Asia,balance,7.83
Uganda,Africa,balance,7.75
United States (Hawaii),North America,balance,8
Ethiopia,Africa,balance,7.67
Ethiopia,Africa,balance,7.83
Thailand,Asia,balance,7.75
Kenya,Africa,balance,7.83
Honduras,Americas,balance,7.67
El Salvador,Americas,balance,7.92
Nicaragua,Americas,balance,7.67
El Salvador,Americas,balance,7.67
Indonesia,Asia,balance,7.75
Japan,Asia,balance,7.83
Costa Rica,Americas,balance,7.92
Guatemala,Americas,balance,7.75
Costa Rica,Americas,balance,7.75
Ethiopia,Africa,balance,7.67
Costa Rica,Americas,balance,8.58
Costa Rica,Americas,balance,7.75
Costa Rica,Americas,balance,8
Taiwan,Asia,balance,7.75
Colombia,Americas,balance,7.83
Kenya,Africa,balance,7.75
Guatemala,Americas,balance,8
Guatemala,Americas,balance,7.83
Mexico,North America,balance,7.83
Uganda,Africa,balance,7.75
Peru,Americas,balance,7.83
Ethiopia,Africa,balance,7.92
Kenya,Africa,balance,7.92
Colombia,Americas,balance,7.83
Colombia,Americas,balance,7.67
Kenya,Africa,balance,7.83
Guatemala,Americas,balance,7.83
Guatemala,Americas,balance,7.67
Colombia,Americas,balance,8.5
Colombia,Americas,balance,8
Kenya,Africa,balance,7.75
Colombia,Americas,balance,7.92
Costa Rica,Americas,balance,7.67
Colombia,Americas,balance,7.83
Brazil,Americas,balance,7.75
Brazil,Americas,balance,7.83
Costa Rica,Americas,balance,7.58
Uganda,Africa,balance,7.75
China,Asia,balance,7.67
Costa Rica,Americas,balance,7.58
Colombia,Americas,balance,7.67
China,Asia,balance,7.58
Guatemala,Americas,balance,7.83
Kenya,Africa,balance,7.75
Mexico,North America,balance,7.67
Mexico,North America,balance,7.83
Guatemala,Americas,balance,7.83
Brazil,Americas,balance,8.25
Brazil,Americas,balance,7.75
Costa Rica,Americas,balance,7.58
Indonesia,Asia,balance,7.83
Colombia,Americas,balance,7.67
Colombia,Americas,balance,7.75
Taiwan,Asia,balance,7.75
United States (Hawaii),North America,balance,7.92
Mexico,North America,balance,7.67
Ethiopia,Africa,balance,7.75
Kenya,Africa,balance,7.92
Honduras,Americas,balance,7.75
Colombia,Americas,balance,8.5
Honduras,Americas,balance,7.75
Colombia,Americas,balance,7.83
Colombia,Americas,balance,7.83
Colombia,Americas,balance,8.08
Mexico,North America,balance,7.67
Brazil,Americas,balance,7.67
Brazil,Americas,balance,7.75
Ethiopia,Africa,balance,7.92
Guatemala,Americas,balance,7.92
Taiwan,Asia,balance,7.83
Thailand,Asia,balance,7.67
Colombia,Americas,balance,8
Guatemala,Americas,balance,7.75
Guatemala,Americas,balance,7.67
China,Asia,balance,7.75
Colombia,Americas,balance,7.92
Colombia,Americas,balance,7.75
Colombia,Americas,balance,7.75
Colombia,Americas,balance,7.83
"Tanzania, United Republic Of",Africa,balance,7.67
"Tanzania, United Republic Of",Africa,balance,7.75
Guatemala,Americas,balance,7.75
Colombia,Americas,balance,7.83
United States (Hawaii),North America,balance,8.08
Mexico,North America,balance,7.75
Mexico,North America,balance,7.58
Mexico,North America,balance,7.75
Uganda,Africa,balance,7.58
Guatemala,Americas,balance,7.75
Colombia,Americas,balance,7.83
Costa Rica,Americas,balance,7.67
Guatemala,Americas,balance,7.83
Guatemala,Americas,balance,7.67
Guatemala,Americas,balance,7.67
Colombia,Americas,balance,7.83
Nicaragua,Americas,balance,7.83
Brazil,Americas,balance,7.75
Costa Rica,Americas,balance,8
Ethiopia,Africa,balance,7.83
"Tanzania, United Republic Of",Africa,balance,7.58
Colombia,Americas,balance,8.58
Guatemala,Americas,balance,7.75
Kenya,Africa,balance,7.83
Brazil,Americas,balance,8
Guatemala,Americas,balance,7.92
El Salvador,Americas,balance,8.17
Colombia,Americas,balance,7.75
Guatemala,Americas,balance,7.83
Uganda,Africa,balance,7.75
Indonesia,Asia,balance,7.75
Colombia,Americas,balance,8.5
Taiwan,Asia,balance,7.83
Guatemala,Americas,balance,7.67
Colombia,Americas,balance,7.67
Guatemala,Americas,balance,7.67
United States (Hawaii),North America,balance,8.08
Mexico,North America,balance,7.75
Ethiopia,Africa,balance,7.92
Costa Rica,Americas,balance,7.75
Ethiopia,Africa,balance,7.75
Honduras,Americas,balance,7.58
Guatemala,Americas,balance,7.67
Colombia,Americas,balance,7.83
Guatemala,Americas,balance,7.83
Guatemala,Americas,balance,7.67
Colombia,Americas,balance,7.75
Colombia,Americas,balance,7.92
Colombia,Americas,balance,7.67
Ethiopia,Africa,balance,7.92
Brazil,Americas,balance,7.75
Colombia,Americas,balance,7.75
Kenya,Africa,balance,7.67
Thailand,Asia,balance,8.17
Kenya,Africa,balance,7.67
Uganda,Africa,balance,7.83
Thailand,Asia,balance,7.75
Brazil,Americas,balance,7.5
Mexico,North America,balance,7.5
Thailand,Asia,balance,7.83
Brazil,Americas,balance,7.83
Taiwan,Asia,balance,7.75
Colombia,Americas,balance,7.75
Colombia,Americas,balance,7.92
Taiwan,Asia,balance,7.67
Colombia,Americas,balance,7.67
Colombia,Americas,balance,7.75
Colombia,Americas,balance,7.67
Taiwan,Asia,balance,7.33
Colombia,Americas,balance,7.83
Mexico,North America,balance,7.83
Mexico,North America,balance,7.75
Mexico,North America,balance,7.67
Colombia,Americas,balance,7.67
Colombia,Americas,balance,7.75
Costa Rica,Americas,balance,7.75
Guatemala,Americas,balance,7.58
Taiwan,Asia,balance,7.67
Brazil,Americas,balance,7.83
Taiwan,Asia,balance,7.75
Ethiopia,Africa,balance,7.67
Brazil,Americas,balance,8.17
Costa Rica,Americas,balance,7.83
Guatemala,Americas,balance,7.75
Brazil,Americas,balance,7.5
Ecuador,Americas,balance,7.83
Colombia,Americas,balance,7.67
Guatemala,Americas,balance,7.67
Mexico,North America,balance,7.5
Mexico,North America,balance,7.75
Brazil,Americas,balance,7.58
Thailand,Asia,balance,7.58
Thailand,Asia,balance,7.83
Ethiopia,Africa,balance,7.5
Kenya,Africa,balance,7.75
Brazil,Americas,balance,7.67
Colombia,Americas,balance,7.58
Taiwan,Asia,balance,7.83
Colombia,Americas,balance,7.5
China,Asia,balance,7.67
Colombia,Americas,balance,7.83
Uganda,Africa,balance,7.5
United States (Puerto Rico),North America,balance,8.17
Colombia,Americas,balance,7.67
Colombia,Americas,balance,8.33
Colombia,Americas,balance,7.67
Colombia,Americas,balance,8
United States (Hawaii),North America,balance,8.25
Mexico,North America,balance,7.67
Guatemala,Americas,balance,7.75
Colombia,Americas,balance,7.67
Colombia,Americas,balance,8.5
United States (Hawaii),North America,balance,7.5
Brazil,Americas,balance,7.5
Kenya,Africa,balance,7.67
Honduras,Americas,balance,8
Nicaragua,Americas,balance,7.58
Brazil,Americas,balance,7.58
Taiwan,Asia,balance,7.67
Costa Rica,Americas,balance,7.5
Thailand,Asia,balance,7.58
Colombia,Americas,balance,7.67
Guatemala,Americas,balance,8
Colombia,Americas,balance,7.67
Colombia,Americas,balance,7.75
Guatemala,Americas,balance,7.75
Guatemala,Americas,balance,7.83
Colombia,Americas,balance,7.75
Guatemala,Americas,balance,7.75
Guatemala,Americas,balance,7.83
Mexico,North America,balance,8.25
Indonesia,Asia,balance,7.67
Guatemala,Americas,balance,7.67
United States (Hawaii),North America,balance,8
Brazil,Americas,balance,7.58
Guatemala,Americas,balance,7.58
Colombia,Americas,balance,7.58
China,Asia,balance,7.75
Colombia,Americas,balance,7.58
Mexico,North America,balance,7.67
Ethiopia,Africa,balance,7.67
Uganda,Africa,balance,7.67
Colombia,Americas,balance,7.67
Colombia,Americas,balance,7.75
Colombia,Americas,balance,7.83
Taiwan,Asia,balance,7.58
Colombia,Americas,balance,7.58
Mexico,North America,balance,7.58
Colombia,Americas,balance,7.75
Brazil,Americas,balance,7.58
Colombia,Americas,balance,7.5
Taiwan,Asia,balance,7
Costa Rica,Americas,balance,7.67
Colombia,Americas,balance,7.75
Guatemala,Americas,balance,7.58
Colombia,Americas,balance,7.67
"Tanzania, United Republic Of",Africa,balance,7.58
Indonesia,Asia,balance,7.58
Ethiopia,Africa,balance,7.67
Colombia,Americas,balance,7.67
Colombia,Americas,balance,7.58
Guatemala,Americas,balance,7.67
Colombia,Americas,balance,7.83
Honduras,Americas,balance,7.67
Colombia,Americas,balance,7.67
Colombia,Americas,balance,7.75
Mexico,North America,balance,7.42
Mexico,North America,balance,7.5
Mexico,North America,balance,7.5
Guatemala,Americas,balance,7.5
Colombia,Americas,balance,7.67
Guatemala,Americas,balance,7.67
United States (Hawaii),North America,balance,7.67
Indonesia,Asia,balance,7.58
Colombia,Americas,balance,7.83
Guatemala,Americas,balance,7.67
Colombia,Americas,balance,7.58
Costa Rica,Americas,balance,7.67
Taiwan,Asia,balance,7
Uganda,Africa,balance,7.58
Thailand,Asia,balance,7.67
El Salvador,Americas,balance,7.67
Colombia,Americas,balance,7.67
Brazil,Americas,balance,7.83
"Tanzania, United Republic Of",Africa,balance,7.58
Colombia,Americas,balance,8.58
Guatemala,Americas,balance,7.67
Guatemala,Americas,balance,7.5
Guatemala,Americas,balance,7.75
United States (Hawaii),North America,balance,7.67
Colombia,Americas,balance,7.75
Colombia,Americas,balance,7.67
United States (Hawaii),North America,balance,7.58
Thailand,Asia,balance,7.42
Mexico,North America,balance,8.75
Colombia,Americas,balance,7.58
Colombia,Americas,balance,7.75
Colombia,Americas,balance,7.58
Brazil,Americas,balance,7.92
Mexico,North America,balance,7.58
Colombia,Americas,balance,7.42
"Tanzania, United Republic Of",Africa,balance,7.58
Mexico,North America,balance,7.58
Costa Rica,Americas,balance,7.67
United States (Hawaii),North America,balance,8
Costa Rica,Americas,balance,7.17
Peru,Americas,balance,7.58
Haiti,Americas,balance,7.42
Colombia,Americas,balance,7.42
Guatemala,Americas,balance,7.67
United States (Hawaii),North America,balance,7.67
Burundi,Africa,balance,7.75
Colombia,Americas,balance,7.58
United States (Hawaii),North America,balance,7.58
United States (Hawaii),North America,balance,7.67
Mexico,North America,balance,7.5
Costa Rica,Americas,balance,7.67
Costa Rica,Americas,balance,7.67
Guatemala,Americas,balance,7.58
Uganda,Africa,balance,7.67
Brazil,Americas,balance,7.42
Colombia,Americas,balance,7.83
Mexico,North America,balance,7.58
Taiwan,Asia,balance,7.83
Taiwan,Asia,balance,7.33
Colombia,Americas,balance,7.75
Guatemala,Americas,balance,7.5
Colombia,Americas,balance,7.67
Mexico,North America,balance,7.58
United States (Hawaii),North America,balance,7.67
Mexico,North America,balance,7.58
Mexico,North America,balance,7.5
Guatemala,Americas,balance,8.08
Brazil,Americas,balance,7.58
Colombia,Americas,balance,7.58
Colombia,Americas,balance,7.67
Colombia,Americas,balance,7.58
Colombia,Americas,balance,7.5
Colombia,Americas,balance,7.67
Brazil,Americas,balance,7.58
Guatemala,Americas,balance,7.58
"Tanzania, United Republic Of",Africa,balance,7.58
Peru,Americas,balance,7.5
Vietnam,Asia,balance,8.58
Guatemala,Americas,balance,7.5
Honduras,Americas,balance,7.67
China,Asia,balance,7.67
China,Asia,balance,7.58
El Salvador,Americas,balance,7.67
Guatemala,Americas,balance,7.5
Guatemala,Americas,balance,7.5
Kenya,Africa,balance,8.5
Thailand,Asia,balance,7.67
"Tanzania, United Republic Of",Africa,balance,7.58
Colombia,Americas,balance,7.67
Uganda,Africa,balance,7.58
Colombia,Americas,balance,7.58
Honduras,Americas,balance,7.67
Honduras,Americas,balance,7.67
Guatemala,Americas,balance,7.67
United States (Hawaii),North America,balance,7.67
"Tanzania, United Republic Of",Africa,balance,7.58
Guatemala,Americas,balance,7.67
Mexico,North America,balance,7.42
Mexico,North America,balance,7.58
Mexico,North America,balance,7.58
Colombia,Americas,balance,8.17
Mexico,North America,balance,7.58
Colombia,Americas,balance,7.67
Mexico,North America,balance,7.5
Brazil,Americas,balance,7.58
Brazil,Americas,balance,7.5
Guatemala,Americas,balance,8
Brazil,Americas,balance,7.5
Brazil,Americas,balance,7.58
El Salvador,Americas,balance,7.58
Ethiopia,Africa,balance,7.92
Colombia,Americas,balance,7.58
Colombia,Americas,balance,7.75
Brazil,Americas,balance,7.58
Brazil,Americas,balance,7.42
Taiwan,Asia,balance,7.25
Brazil,Americas,balance,7.67
Brazil,Americas,balance,7.5
Costa Rica,Americas,balance,7.67
United States (Hawaii),North America,balance,7.67
Taiwan,Asia,balance,7.5
United States (Hawaii),North America,balance,7.67
Mexico,North America,balance,7.5
United States (Hawaii),North America,balance,8
United States (Hawaii),North America,balance,7.58
Colombia,Americas,balance,8.08
Colombia,Americas,balance,7.92
Indonesia,Asia,balance,7.58
Guatemala,Americas,balance,7.67
Brazil,Americas,balance,7.5
Brazil,Americas,balance,7.5
Brazil,Americas,balance,7.42
Uganda,Africa,balance,7.5
Uganda,Africa,balance,7.5
Colombia,Americas,balance,7.58
Vietnam,Asia,balance,7.67
Guatemala,Americas,balance,7.5
Guatemala,Americas,balance,7.42
Guatemala,Americas,balance,7.5
Brazil,Americas,balance,7.5
Taiwan,Asia,balance,7.25
Uganda,Africa,balance,7.5
United States (Puerto Rico),North America,balance,7.83
Guatemala,Americas,balance,7.5
Costa Rica,Americas,balance,7.5
Brazil,Americas,balance,7.67
Colombia,Americas,balance,7.17
Colombia,Americas,balance,7.67
Colombia,Americas,balance,7.58
Colombia,Americas,balance,7.42
Colombia,Americas,balance,7.58
Mexico,North America,balance,7.58
Mexico,North America,balance,7.67
Mexico,North America,balance,7.58
Colombia,Americas,balance,7.5
Colombia,Americas,balance,7.75
Colombia,Americas,balance,7.42
Guatemala,Americas,balance,7.83
Colombia,Americas,balance,7.42
Thailand,Asia,balance,7.67
Colombia,Americas,balance,7.92
United States (Hawaii),North America,balance,7.83
United States (Hawaii),North America,balance,7.67
Colombia,Americas,balance,7.58
Nicaragua,Americas,balance,8.08
Thailand,Asia,balance,7.5
Brazil,Americas,balance,7.5
El Salvador,Americas,balance,7.83
Colombia,Americas,balance,7.58
Taiwan,Asia,balance,7.58
Ethiopia,Africa,balance,7.58
Taiwan,Asia,balance,7.75
Philippines,Asia,balance,7.5
Philippines,Asia,balance,7.5
Mexico,North America,balance,7.5
Mexico,North America,balance,7.5
Brazil,Americas,balance,7.67
Uganda,Africa,balance,7.42
Uganda,Africa,balance,7.5
Guatemala,Americas,balance,7.5
Guatemala,Americas,balance,7.5
Guatemala,Americas,balance,7.58
Colombia,Americas,balance,7.58
Colombia,Americas,balance,7.5
Guatemala,Americas,balance,7.17
Colombia,Americas,balance,7.58
Mexico,North America,balance,7.75
Vietnam,Asia,balance,7.42
Mexico,North America,balance,7.42
United States (Hawaii),North America,balance,7.83
Colombia,Americas,balance,7.83
Thailand,Asia,balance,8
Kenya,Africa,balance,7.5
Guatemala,Americas,balance,7.58
Brazil,Americas,balance,7.42
El Salvador,Americas,balance,7.67
Rwanda,Africa,balance,7.75
Vietnam,Asia,balance,7.42
Guatemala,Americas,balance,7.5
Brazil,Americas,balance,7.33
Colombia,Americas,balance,7.67
United States,North America,balance,7.75
Guatemala,Americas,balance,7.17
Colombia,Americas,balance,7.58
Colombia,Americas,balance,7.5
"Tanzania, United Republic Of",Africa,balance,7.75
Mexico,North America,balance,7.5
Mexico,North America,balance,7.42
Guatemala,Americas,balance,7.92
Mexico,North America,balance,7.58
El Salvador,Americas,balance,7.5
Guatemala,Americas,balance,7.5
Guatemala,Americas,balance,7.42
Guatemala,Americas,balance,7.58
Guatemala,Americas,balance,7.5
Guatemala,Americas,balance,7.5
Indonesia,Asia,balance,7.5
Guatemala,Americas,balance,7.67
Taiwan,Asia,balance,7.67
El Salvador,Americas,balance,7.67
Costa Rica,Americas,balance,7.5
Honduras,Americas,balance,7.5
Brazil,Americas,balance,7.58
China,Asia,balance,7.67
China,Asia,balance,7.5
Colombia,Americas,balance,7.5
Malawi,Africa,balance,7.5
Guatemala,Americas,balance,7.67
Colombia,Americas,balance,7.67
United States (Hawaii),North America,balance,7.5
United States (Hawaii),North America,balance,8
Colombia,Americas,balance,8.58
Mexico,North America,balance,7.5
Mexico,North America,balance,7.58
Mexico,North America,balance,7.92
Colombia,Americas,balance,7.58
Colombia,Americas,balance,7.42
United States (Hawaii),North America,balance,7.67
Panama,Americas,balance,7.75
United States (Hawaii),North America,balance,7.42
Brazil,Americas,balance,7.5
Brazil,Americas,balance,7.42
Laos,Asia,balance,7.5
El Salvador,Americas,balance,7.67
Mexico,North America,balance,7.17
Colombia,Americas,balance,7.75
Brazil,Americas,balance,7.5
Brazil,Americas,balance,7.5
"Tanzania, United Republic Of",Africa,balance,7.58
"Tanzania, United Republic Of",Africa,balance,7.58
Taiwan,Asia,balance,7.25
Mexico,North America,balance,7.5
Uganda,Africa,balance,7.5
Taiwan,Asia,balance,7.5
Thailand,Asia,balance,7.5
Colombia,Americas,balance,7.42
El Salvador,Americas,balance,7.58
