country_of_origin,aroma,flavor,aftertaste,acidity,body,balance,uniformity,clean_cup,sweetness,cupper_points,Continent
Guatemala,7.5,7.58,7.42,7.58,7.42,7.58,10,10,10,7.5,Americas
Colombia,7.75,7.25,7.33,7.42,7.5,7.83,10,10,10,7.5,Americas
Colombia,7.75,7.5,7.75,7.25,7.33,7.58,10,10,10,7.42,Americas
Colombia,7.58,7.5,7.42,7.58,7.67,7.42,10,10,10,7.42,Americas
Mexico,7.5,7.58,7.5,7.5,7.42,7.5,10,10,10,7.58,North America
Mexico,7.67,7.58,7.58,7.75,7.67,6.83,10,10,10,7.5,North America
Colombia,7.33,7.42,7.58,7.42,7.67,7.5,10,10,10,7.67,Americas
Brazil,7.58,7.5,7.33,7.75,7.5,7.5,10,10,10,7.42,Americas
Brazil,7.5,7.5,7.5,7.5,7.58,7.5,10,10,10,7.42,Americas
Indonesia,7.83,7.75,7.25,7.5,7.42,7.33,10,10,10,7.42,Asia
Honduras,7.58,7.58,7.33,7.5,7.5,7.5,10,10,10,7.5,Americas
Guatemala,7.5,7.5,7.33,7.5,7.67,7.5,10,10,10,7.5,Americas
Thailand,7.5,7.83,7.5,7.75,7.33,7.42,9.33,10,10,7.83,Asia
Thailand,7.33,7.5,7.5,7.5,7.67,7.5,10,10,10,7.5,Asia
"Tanzania, United Republic Of",7.67,7.42,7.33,7.58,7.5,7.5,10,10,10,7.5,Africa
"Tanzania, United Republic Of",7.75,7,7.42,7.58,7.58,7.58,10,10,10,7.58,Africa
Mexico,7.42,7.58,7.5,7.67,7.25,7.5,10,10,10,7.58,North America
Brazil,7.42,7.5,7.67,7.33,7.42,7.67,10,10,10,7.5,Americas
Guatemala,7.83,7.42,7.33,7.67,7.42,7.5,10,10,10,7.33,Americas
Colombia,7.5,7.5,7.42,7.42,7.58,7.58,10,10,10,7.5,Americas
Guatemala,7.83,7.67,7.17,7.33,7.5,7.67,10,10,10,7.33,Americas
Mexico,7.5,7.58,7.5,7.5,7.42,7.42,10,10,10,7.58,North America
Mexico,7.67,7.5,7.33,7.67,7.5,7.33,10,10,10,7.5,North America
Mexico,7.92,7.5,7.33,7.58,7.25,7.42,10,10,10,7.5,North America
Guatemala,7.67,7.33,7.33,7.33,7.5,7.83,10,10,10,7.5,Americas
Brazil,7.67,7.42,7.33,7.67,7.5,7.5,10,10,10,7.42,Americas
Colombia,7.67,7.5,7.33,7.5,7.25,7.67,10,10,10,7.58,Americas
United States (Hawaii),7.33,7.42,7.33,7.75,7.42,7.67,10,10,10,7.58,North America
Guatemala,7.75,7.58,7.67,7.67,7.58,7.58,9.33,10,10,7.33,Americas
Honduras,7.42,7.67,7.17,7.58,7.58,7.5,10,10,10,7.5,Americas
Guatemala,7.58,7.5,7.33,7.75,7.33,7.5,10,10,10,7.42,Americas
Guatemala,7.67,7.58,7.25,7.67,7.42,7.33,10,10,10,7.5,Americas
Guatemala,7.58,7.5,7.25,7.67,7.5,7.5,10,10,10,7.42,Americas
Guatemala,7.5,7.42,7.08,7.75,7.67,7.5,10,10,10,7.5,Americas
Colombia,5.08,7.75,7.83,7.75,7.83,8.08,10,10,10,8.08,Americas
China,7.67,7.42,7.42,7.5,7.42,7.42,10,10,10,7.58,Asia
Brazil,7.42,7.5,7.33,7.5,7.25,7.42,10,10,10,8,Americas
"Tanzania, United Republic Of",7.67,7.25,7.42,7.42,7.67,7.42,10,10,10,7.58,Africa
Brazil,7.17,7.83,7.33,7.5,7.75,7.42,10,10,10,7.42,Americas
Guatemala,7.5,7.5,7.5,7.67,7.42,7.5,10,10,10,7.33,Americas
Mexico,7.42,7.5,7.42,7.58,7.42,7.5,10,10,10,7.58,North America
Brazil,7.58,7.67,7.33,7.5,7.5,7.42,10,10,10,7.42,Americas
Peru,7.58,7.58,7.58,7.75,7.5,7.58,9.33,10,10,7.5,Americas
Brazil,7.25,7.33,7.25,7.5,7.42,7.5,10,10,10,8.17,Americas
Mexico,7.5,7.58,7.5,7.92,7.42,7.67,9.33,10,10,7.5,North America
Honduras,7.25,7.67,7.42,7.17,7.75,7.5,10,10,10,7.67,Americas
Colombia,7.67,7.42,7.33,7.5,7.58,7.5,10,10,10,7.42,Americas
Mexico,7.5,7.42,7.42,7.67,7.42,7.58,10,10,10,7.42,North America
Mexico,7.42,7.58,7.5,7.42,7.58,7.5,10,10,10,7.42,North America
Mexico,7.42,7.58,7.33,7.58,7.5,7.5,10,10,10,7.5,North America
Mexico,7.75,7.33,7.25,7.58,7.58,7.33,10,10,10,7.58,North America
Mexico,7.5,7.58,7.33,7.5,7.5,7.5,10,10,10,7.5,North America
Mexico,7.58,7.58,7.17,7.5,7.5,7.5,10,10,10,7.58,North America
Mexico,7.58,7.33,7.33,7.58,7.5,7.5,10,10,10,7.58,North America
Mexico,7.67,7.58,7.33,7.42,7.58,7.33,10,10,10,7.5,North America
Mexico,7.83,7.5,7.42,7.67,7.17,7.33,10,10,10,7.5,North America
Colombia,7.67,7.33,7.25,7.42,7.5,7.67,10,10,10,7.58,Americas
Brazil,7.75,7.5,7.42,7.42,7.5,7.42,10,10,10,7.42,Americas
Colombia,7.33,7.58,7.17,7.58,7.42,7.58,10,10,10,7.75,Americas
Colombia,7.58,7.25,7.42,7.25,7.58,7.83,10,10,10,7.5,Americas
Honduras,7.5,7.58,7.33,7.5,7.42,7.42,10,10,10,7.58,Americas
Brazil,7.33,7.5,7.5,7.33,7.5,7.5,10,10,10,7.67,Americas
Brazil,7.42,7.42,7.42,7.5,7.5,7.58,10,10,10,7.5,Americas
Brazil,7.5,7.5,7.42,7.5,7.42,7.5,10,10,10,7.5,Americas
Costa Rica,7.75,7.5,7.25,7.25,7.42,7.67,10,10,10,7.5,Americas
Costa Rica,7.75,7.33,7.5,7.5,7.33,7.58,10,10,10,7.33,Americas
China,7.5,7.58,7.42,7.5,7.42,7.42,10,10,10,7.5,Asia
Brazil,8.25,7.83,7.25,8.33,8.17,8.08,10,6.67,10,7.75,Americas
Brazil,7.42,7.5,7.5,7.42,7.5,7.58,10,10,10,7.42,Americas
Guatemala,7.5,7.42,7.17,7.83,7.5,7.5,10,10,10,7.42,Americas
Malawi,7.33,7.58,7.42,7.58,7.33,7.5,10,10,10,7.58,Africa
Brazil,7.75,8.08,7.67,8.08,8.08,8,10,10,6.67,8,Americas
Guatemala,7.58,7.67,7.5,7.58,7.75,7.5,9.33,10,10,7.42,Americas
Mexico,7.33,7.58,7.42,7.5,7.5,7.5,10,10,10,7.5,North America
Colombia,7.42,7.33,7.5,7.17,7.08,8.33,10,10,10,7.5,Americas
Taiwan,7.5,7.5,7.5,7.5,7.5,7.5,10,10,10,7.33,Asia
Taiwan,7.5,7.5,7.5,7.5,7.5,7.5,10,10,10,7.33,Asia
Guatemala,7.5,7.42,7.58,7.5,7.5,7.58,10,10,10,7.25,Americas
Colombia,7.5,7.42,7.5,7.5,7.5,7.58,10,10,10,7.33,Americas
Mexico,7.67,7.5,7.42,7.5,7.42,7.42,10,10,10,7.42,North America
Costa Rica,7.92,7.58,7.25,7.75,7.92,7.58,9.33,9.33,10,7.67,Americas
Guatemala,7.67,7.5,7.33,7.67,7.5,7.33,10,10,10,7.33,Americas
Mexico,7.58,7.67,7.58,7.33,7,7.58,10,10,10,7.58,North America
Mexico,7.67,7.58,7.5,7.58,7.5,7.5,10,10,10,7,North America
Guatemala,7.5,7.67,7.33,7.5,7.33,7.5,10,10,10,7.5,Americas
Brazil,7.58,7.5,7.42,7.5,7.5,7.42,10,10,10,7.42,Americas
Mexico,8,7.75,7.33,7.33,7.08,7.67,9.33,10,10,7.83,North America
Brazil,7.58,7.58,7.25,7.58,7.42,7.5,10,10,10,7.42,Americas
Colombia,7.83,7.58,7.33,7.25,7.58,7.42,10,10,10,7.33,Americas
Brazil,7.58,7.5,7.25,7.42,7.67,7.33,10,10,10,7.5,Americas
Taiwan,7,7.08,7,7.17,7,7,10,10,10,10,Asia
Guatemala,7.67,7.5,7.25,7.67,7.42,7.42,10,10,10,7.33,Americas
Brazil,7.42,7.67,7.5,7.08,7.5,7.42,10,10,10,7.67,Americas
El Salvador,7.58,7.67,7.5,7.67,7.83,8.42,9.33,9.33,9.33,7.58,Americas
Honduras,7.58,7.5,7.42,7.58,7.42,7.42,10,10,10,7.33,Americas
Malawi,7.58,7.42,7.33,7.42,7.58,7.5,10,10,10,7.42,Africa
Brazil,7.75,7.58,7.42,7.42,7.33,7.33,10,10,10,7.42,Americas
Taiwan,7.5,7.5,7.5,7.5,7.5,7.5,10,10,10,7.25,Asia
Mexico,7.58,7.58,7.42,7.42,7.42,7.42,10,10,10,7.42,North America
United States (Hawaii),7.33,7.42,7.5,7.67,7.5,7.42,10,10,10,7.42,North America
Mexico,7.58,7.58,7.5,7.17,7.42,7.42,10,10,10,7.58,North America
Guatemala,7.5,7.5,7.33,7.58,7.67,7.33,10,10,10,7.33,Americas
Mexico,7.5,7.58,7.42,7.67,7.33,7.42,10,10,10,7.33,North America
Mexico,7.67,7.58,7.33,7.5,7.42,7.42,10,10,10,7.33,North America
El Salvador,7.75,7.33,7.33,7.5,7.5,7.5,10,10,10,7.33,Americas
Mexico,7.33,7.58,7.42,7.67,7.33,7.5,10,10,10,7.42,North America
Mexico,7.42,7.5,7.42,7.58,7.42,7.5,10,10,10,7.42,North America
Colombia,7.5,7.42,7.67,7.33,7.58,7.33,10,10,10,7.42,Americas
Colombia,7.67,7.33,7.33,7.33,7.5,7.5,10,10,10,7.58,Americas
Brazil,7.67,7.58,7.42,7,7.5,7.58,10,10,10,7.5,Americas
Colombia,7.17,7.25,7.58,7.25,7.58,7.67,10,10,10,7.75,Americas
Brazil,7.42,7.42,7.5,7.42,7.42,7.5,10,10,10,7.5,Americas
Honduras,7.5,7.5,7.17,7.42,7.5,7.5,10,10,10,7.58,Americas
Nicaragua,7.5,7.5,7.33,7.42,7.5,7.42,10,10,10,7.5,Americas
"Tanzania, United Republic Of",7.58,7.42,7.42,7.33,7.5,7.42,10,10,10,7.5,Africa
"Tanzania, United Republic Of",7.42,7.42,7.42,7.5,7.5,7.33,10,10,10,7.58,Africa
Brazil,6.92,7.58,7.42,7.33,7.83,7.5,10,10,10,7.58,Americas
Thailand,7.42,7.42,7.17,7.75,7.25,7.67,10,10,10,7.5,Asia
Honduras,7.67,7.5,7.25,7.42,7.58,7.42,10,10,10,7.33,Americas
Guatemala,7.42,7.42,7.5,7.5,7.42,7.5,10,10,10,7.42,Americas
Brazil,7.58,7.5,7.42,7.25,7.5,7.42,10,10,10,7.5,Americas
"Tanzania, United Republic Of",7.75,7.42,7.42,7.58,7.33,7.42,10,10,10,7.25,Africa
Mexico,7.42,7.33,7.17,7.42,7.33,8.17,10,10,10,7.33,North America
Mexico,7.5,7.5,7.33,7.42,7.5,7.42,10,10,10,7.5,North America
Taiwan,7.5,7.5,7.5,7.5,7.5,7.5,10,10,10,7.17,Asia
Taiwan,7.67,7.5,7.5,7.17,7.17,7.58,10,10,10,7.58,Asia
Colombia,7.33,7.25,7.25,7.58,7.75,7.5,10,10,10,7.5,Americas
Mexico,7.5,7.67,7,7.5,7.33,7.5,10,10,10,7.67,North America
Guatemala,7.25,7.75,7,7.75,8.17,7.75,10,10,9.33,7.17,Americas
Mexico,7.5,7.58,7.25,7.5,7.5,7.33,10,10,10,7.5,North America
Mexico,7,7.67,7.5,7.5,7.42,7.5,10,10,10,7.58,North America
Colombia,7.58,7.67,7.42,7.17,7.17,7.75,10,10,10,7.42,Americas
Indonesia,7.5,7.5,7.42,7.42,7.5,7.42,10,10,10,7.33,Asia
Colombia,7.75,7.58,7.42,7.67,7.83,7.58,9.33,9.33,10,7.58,Americas
Brazil,7.42,7.58,7.42,7.5,7.42,7.25,10,10,10,7.5,Americas
Brazil,7.25,7.25,7.58,7.58,7.25,7.92,10,10,10,7.25,Americas
Costa Rica,7.75,7.42,7.42,7.25,7.17,7.42,10,10,10,7.67,Americas
"Tanzania, United Republic Of",7.42,7.33,7.42,7.42,7.5,7.58,10,10,10,7.42,Africa
"Tanzania, United Republic Of",7.42,7.5,7.5,7.33,7.33,7.5,10,10,10,7.5,Africa
Colombia,7.5,7.42,7.42,7.42,7.67,7.42,10,10,10,7.25,Americas
Costa Rica,7.58,7.33,7.33,7.33,7.5,7.67,10,10,10,7.33,Americas
United States (Hawaii),7.25,7.58,7.58,7.25,7.5,7.42,10,10,10,7.5,North America
Mexico,7.42,7.58,7.5,7.33,7.42,7.42,10,10,10,7.42,North America
Mexico,7.5,7.42,7.42,7.5,7.25,7.5,10,10,10,7.5,North America
Mexico,7.67,7.5,7.25,7.58,7.42,7.33,10,10,10,7.33,North America
Vietnam,7.67,8,7.17,7.08,7.67,7.08,10,10,10,7.42,Asia
Mexico,7.58,7.42,7.25,7.75,7.33,7.42,10,10,10,7.33,North America
United States (Hawaii),7.33,7.5,7.33,7.58,7.08,7.83,10,10,10,7.42,North America
Colombia,7.67,7.42,7.67,7.33,7.25,7.58,10,10,10,7.17,Americas
Honduras,7.5,7.5,7.17,7.5,7.5,7.42,10,10,10,7.42,Americas
Honduras,7.5,7.5,7.25,7.33,7.42,7.5,10,10,10,7.5,Americas
Brazil,7.5,7.33,7.42,7.5,7.33,7.42,10,10,10,7.5,Americas
"Tanzania, United Republic Of",7.67,7.33,7.33,7.42,7.42,7.42,10,10,10,7.42,Africa
Laos,7.42,7.5,7.25,7.33,7.5,7.5,10,10,10,7.5,Asia
"Tanzania, United Republic Of",7.42,7.42,7.33,7.58,7.33,7.42,10,10,10,7.5,Africa
Malawi,7.5,7.42,7.33,7.58,7.33,7.5,10,10,10,7.33,Africa
Taiwan,7.33,7.5,7.17,7.42,7.5,7.33,10,10,10,7.75,Asia
Thailand,7.58,7.5,7.42,7.42,7.33,7.42,10,10,10,7.33,Asia
Costa Rica,7.5,7.25,7.33,7.33,7.75,7.5,10,10,10,7.33,Americas
Honduras,7.33,7.33,7.33,7.5,7.5,7.83,10,10,10,7.17,Americas
Colombia,7.33,7.33,7.58,7.5,7.5,7.58,10,10,10,7.17,Americas
Taiwan,7.42,7.58,7.33,7.42,8,7.5,9.33,10,10,7.42,Asia
Brazil,7.33,7.67,7.42,7.17,7.33,7.42,10,10,10,7.67,Americas
Mexico,7.67,7.33,7.25,7.5,7.42,7.42,10,10,10,7.42,North America
Brazil,7.42,7.5,7.33,7.5,7.33,7.5,10,10,10,7.42,Americas
Brazil,7.42,7.5,7.25,7.5,7.5,7.42,10,10,10,7.42,Americas
Guatemala,7.33,7.33,7.33,7.5,7.67,7.67,10,10,10,7.17,Americas
Brazil,7.58,7.5,7.17,7.5,7.5,7.42,10,10,10,7.33,Americas
Guatemala,7.75,7.33,7.33,7.42,7.75,7.67,10,10,9.33,7.42,Americas
Colombia,7.33,7,7.08,7.42,7.5,7.67,10,10,10,8,Americas
Guatemala,7.58,7.5,7.25,7.58,7.58,7.5,9.33,10,10,7.58,Americas
Guatemala,7.5,7.5,7.25,7.42,7.42,7.42,10,10,10,7.42,Americas
Honduras,7.58,7.5,7.25,7.33,7.42,7.5,10,10,10,7.33,Americas
Brazil,7.42,7.33,7.33,7.5,7.5,7.33,10,10,10,7.5,Americas
El Salvador,7.67,7.58,7.33,7.5,7.5,7.67,10,10,9.33,7.33,Americas
Guatemala,7.58,7.58,7.17,7.83,7.17,7.33,10,10,10,7.25,Americas
"Tanzania, United Republic Of",7.33,7.33,7.33,7.42,7.5,7.58,10,10,10,7.42,Africa
Nicaragua,7.58,7.42,7.25,7.17,7.5,7.67,10,10,10,7.33,Americas
Zambia,7.67,7.08,7.42,7.33,7.75,7.42,10,10,10,7.25,Africa
Honduras,7.42,7.33,7.33,7.58,7.33,7.5,10,10,10,7.42,Americas
Taiwan,7.5,7.5,7.42,7.25,7.5,7.5,10,10,10,7.25,Asia
Mexico,7.58,7.5,7.25,7.58,7.5,7.25,10,10,10,7.25,North America
Mexico,7.5,7.5,7.25,7.25,7.5,7.5,10,10,10,7.42,North America
Mexico,7.5,7.42,7.25,7.5,7.33,7.33,10,10,10,7.58,North America
Mexico,7.33,7.58,7.17,7.58,7.42,7.33,10,10,10,7.5,North America
Mexico,7.67,7.42,7.33,7.83,7.5,7.5,9.33,10,10,7.33,North America
Brazil,7.42,7.58,7.25,7.5,7.33,7.5,10,10,10,7.33,Americas
Colombia,7.67,7.33,7.33,7.58,7.33,7.33,10,10,10,7.33,Americas
Guatemala,7.42,7.5,7.25,7.5,7.33,7.42,10,10,10,7.42,Americas
Costa Rica,7.25,7.33,7.5,7.33,7.67,7.42,10,10,10,7.33,Americas
Brazil,7.42,7.5,7.42,7.5,7.42,7.25,10,10,10,7.33,Americas
Indonesia,7.75,7.83,7.58,7.75,7.92,7.83,10,10,10,5.17,Asia
Guatemala,7.58,7.5,7.33,7.42,7.58,7.25,10,10,10,7.17,Americas
Brazil,7.17,7.58,6.83,7.5,7.75,7.25,10,10,10,7.75,Americas
Brazil,7.58,7,6.92,6.92,7.67,7.5,10,10,10,8.25,Americas
Myanmar,7.33,7.58,7.5,7.42,7.33,7.33,10,10,10,7.33,Asia
Mexico,7.58,7.5,7.33,7.5,7.17,7.33,10,10,10,7.42,North America
Honduras,7.5,7.5,7.33,7.5,7.42,7.25,10,10,10,7.33,Americas
Costa Rica,7.67,7.5,7.5,7.25,7.08,7.42,10,10,10,7.42,Americas
Taiwan,7.67,7.33,7.17,7.25,7.75,7.33,10,10,10,7.33,Asia
Indonesia,7.42,7.42,7.42,7.33,7.42,7.42,10,10,10,7.42,Asia
Malawi,7.58,7.42,7.33,7.33,7.33,7.42,10,10,10,7.42,Africa
Brazil,7.33,7.58,7.25,7.17,7.83,7.33,10,10,10,7.33,Americas
Honduras,7.5,7.5,7.33,7.33,7.33,7.33,10,10,10,7.5,Americas
Mexico,7.42,7.42,7.25,7.5,7.33,7.42,10,10,10,7.5,North America
Colombia,7.5,7.5,7,7.42,7.5,7.58,10,10,10,7.33,Americas
United States (Hawaii),7.83,7.83,7.83,8,7.83,7.83,10,6.67,10,8,North America
Brazil,7.75,7.75,7.5,7.42,7.83,7.75,9.33,9.33,9.33,7.83,Americas
Guatemala,7.83,7.67,7.33,7.33,7.67,7.83,9.33,10,9.33,7.5,Americas
Mexico,7.83,7.33,7.25,7.58,7.25,7.33,10,10,10,7.25,North America
Mexico,7.33,7.33,7.25,7.5,7.5,7.5,10,10,10,7.42,North America
Brazil,7.33,7.67,7.25,7.5,7.5,7.25,10,10,10,7.33,Americas
Colombia,7.58,7.5,7.17,7.58,7.33,7.33,10,10,10,7.33,Americas
United States (Hawaii),7.25,7.58,7.83,7.67,7.75,7.75,9.33,9.33,10,7.33,North America
Guatemala,7.5,7.5,7.25,7.42,7.42,7.33,10,10,10,7.33,Americas
Vietnam,7,7.08,7.33,7.5,7.5,7.33,10,10,10,8,Asia
"Tanzania, United Republic Of",7.42,7.42,7.42,7.42,7.33,7.33,10,10,10,7.42,Africa
Brazil,7.17,7.25,7.17,7.25,7.42,8.25,10,10,10,7.25,Americas
Mexico,7.5,7.5,7.33,7.42,7.25,7.25,10,10,10,7.5,North America
Mexico,7.42,7.5,7.17,7.67,7.33,7.42,10,10,10,7.25,North America
Mexico,7.42,7.5,7.33,7.58,7.33,7.33,10,10,10,7.25,North America
Mexico,7.33,7.42,7.33,7.67,7.42,7.25,10,10,10,7.33,North America
Mexico,7.5,7.42,7.25,7.33,7.67,7.25,10,10,10,7.33,North America
Colombia,7.33,7.42,7.33,7.33,7.5,7.67,10,10,10,7.17,Americas
Colombia,7.42,7.58,6.92,7.08,7.25,8,10,10,10,7.5,Americas
Brazil,7.42,7.5,7.25,7.5,7.5,7.25,10,10,10,7.25,Americas
Guatemala,7.42,7.42,7.08,7.42,7.33,7.42,10,10,10,7.58,Americas
Guatemala,7.42,7.33,7.17,7.67,7.33,7.42,10,10,10,7.33,Americas
Honduras,7.58,7.5,7.33,7.33,7.42,7.25,10,10,10,7.25,Americas
"Tanzania, United Republic Of",7.17,7.33,7.33,7.42,7.5,7.33,10,10,10,7.58,Africa
Nicaragua,7.58,7.5,7.25,7.25,7.5,7.25,10,10,10,7.33,Americas
Colombia,7.75,7.75,7.75,7.67,5.25,7.83,10,10,10,7.67,Americas
Brazil,7.25,7.75,6.92,7.42,7.5,7.58,10,10,10,7.25,Americas
"Tanzania, United Republic Of",7.42,7.33,7.25,7.42,7.5,7.42,10,10,10,7.33,Africa
"Tanzania, United Republic Of",7.33,7.33,7.5,7.25,7.42,7.33,10,10,10,7.5,Africa
Brazil,7.25,7.42,7.25,7.5,7.5,7.42,10,10,10,7.33,Americas
Indonesia,7.17,7.42,7.33,7.42,7.33,7.42,10,10,10,7.58,Asia
Honduras,7.5,7.33,7.5,7.5,7.17,7.17,10,10,10,7.5,Americas
Costa Rica,7.5,7.17,7.17,7.17,7.5,7.08,10,10,10,8.08,Americas
Mexico,7.42,7.42,7.67,8,7.58,7.5,9.33,9.33,10,7.42,North America
Taiwan,7.5,7.5,7.5,7.25,7.42,7.25,10,10,10,7.25,Asia
Taiwan,7.58,7.42,7.33,7.42,7.33,7.33,10,10,10,7.25,Asia
Mexico,7.5,7.42,7.08,7.58,7.33,7.33,10,10,10,7.42,North America
Guatemala,7.5,7.67,7.33,7.33,7.33,7.33,10,10,10,7.17,Americas
Mexico,7.25,7.67,7.58,7.67,7.67,7.58,8.67,10,10,7.58,North America
Mexico,7.67,7.25,7.17,7.75,7.5,7.25,10,10,10,7.08,North America
Mexico,7.5,7.42,7.33,7.42,7.42,7.42,10,10,10,7.17,North America
Mexico,7.58,7.42,7.25,7.58,7.25,7.17,10,10,10,7.42,North America
Mexico,7.75,7.58,7.25,7.17,7.58,7.33,9.33,10,10,7.67,North America
United States (Hawaii),7.42,7.33,7.33,7.33,7.17,7.83,10,10,10,7.25,North America
Honduras,7.5,7.42,7.08,7.42,7.5,7.33,10,10,10,7.33,Americas
Guatemala,7.42,7.42,7.08,7.5,7.42,7.33,10,10,10,7.42,Americas
Taiwan,7.42,7.42,7.25,7.67,7.33,7.25,10,10,10,7.25,Asia
Costa Rica,7.58,7.42,7.5,7.17,7.08,7.58,10,10,10,7.25,Americas
"Tanzania, United Republic Of",7.42,7.42,7.33,7.42,7.42,7.33,10,10,10,7.25,Africa
Malawi,7.42,7.42,7.17,7.58,7.33,7.33,10,10,10,7.33,Africa
Taiwan,7.33,7.17,7.08,7.08,8.33,8.25,10,10,9.33,7,Asia
Brazil,7.42,7.42,7.33,7.33,7.5,7.25,10,10,10,7.33,Americas
Guatemala,7.42,7.33,7.17,7.58,7.42,7.5,10,10,10,7.17,Americas
Mexico,7.67,7.5,7.42,7.5,6.75,7.42,10,10,10,7.33,North America
Mexico,7.33,7.5,7.25,7.5,7.5,7.17,10,10,10,7.33,North America
Mexico,7.67,7.58,7.42,7.58,7.58,7.42,10,10,8.67,7.67,North America
Thailand,7.08,7.33,7.58,7.58,7.17,7.5,10,10,10,7.33,Asia
Thailand,7.33,7.33,7.17,7.5,7.58,7.33,10,10,10,7.33,Asia
Costa Rica,7.25,7.17,7.33,7.33,7.5,7.75,10,10,10,7.25,Americas
Guatemala,7.67,7.58,7.17,7.42,7.33,7.42,9.33,10,10,7.58,Americas
Nicaragua,7.5,7.42,7.33,7.33,7.25,7.33,10,10,10,7.33,Americas
Honduras,7.5,7.5,7.33,7.42,7.17,7.25,10,10,10,7.33,Americas
Guatemala,7.5,7.42,7.25,7.25,7.5,7.25,10,10,10,7.33,Americas
Taiwan,7.5,7.42,7.33,7.08,7.58,7.25,10,10,10,7.33,Asia
Myanmar,7.25,7.42,7.25,7.5,7.33,7.33,10,10,10,7.42,Asia
Costa Rica,7.83,7.33,7.08,7.08,7.33,7.5,10,10,10,7.33,Americas
Malawi,7.67,7.42,6.92,7.5,7.5,7.17,10,10,10,7.33,Africa
Guatemala,7.5,7.42,7.17,7.58,7.25,7.42,10,10,10,7.17,Americas
Taiwan,7.42,7.33,7.67,7.33,7.42,7.5,10,10,9.33,7.5,Asia
Brazil,7.58,7.5,7.5,7.67,7.67,7.83,9.33,9.33,9.33,7.75,Americas
Haiti,7.42,7.33,7.25,7.42,7.42,7.33,10,10,10,7.33,Americas
Taiwan,7.5,7.42,7.25,7.25,7.33,7.33,10,10,10,7.42,Asia
Mexico,7.33,7.33,7.17,7.42,7.5,7.5,10,10,10,7.25,North America
Mexico,7.58,7.42,7.25,7.42,7.33,7.33,10,10,10,7.17,North America
Mexico,7.42,7.25,7.17,7.42,7.17,8,10,10,10,7.08,North America
Mexico,7.33,7.5,7.33,7.33,7.33,7.42,10,10,10,7.25,North America
Mexico,7.42,7.42,7.33,7.17,7.25,7.42,10,10,10,7.5,North America
Mexico,7.5,7.5,7.25,7.5,7.42,7.58,9.33,10,10,7.42,North America
Indonesia,7.75,7.17,7.17,7.33,7.58,7.33,10,10,10,7.17,Asia
Brazil,7.5,7.42,7.17,7.42,7.5,7.33,10,10,10,7.17,Americas
Guatemala,7.33,7.5,7.33,7.42,7.17,7.33,10,10,10,7.42,Americas
Colombia,7.42,7.42,7.17,7.42,7.42,7.33,10,10,10,7.33,Americas
United States (Hawaii),7.33,7.33,7.33,7.5,7.5,7.83,9.33,10,10,7.33,North America
Mexico,7.58,7.33,7.08,7.33,7.5,7.33,10,10,10,7.25,North America
Guatemala,7.42,7.33,7.08,7.58,7.33,7.25,10,10,10,7.42,Americas
Brazil,7.33,7.5,7.5,7.33,6.83,7.42,10,10,10,7.5,Americas
Honduras,7.5,7.33,7.17,7.25,7.5,7.42,10,10,10,7.25,Americas
Taiwan,7.83,7.75,7.42,7.17,7.08,7.08,10,10,10,7.08,Asia
Malawi,7.58,7.17,7.33,7.42,7.08,7.42,10,10,10,7.42,Africa
Brazil,7.25,7.5,7.42,7.17,7.33,7.33,10,10,10,7.42,Americas
Guatemala,7.42,7.5,7.17,7.42,7.42,7.42,10,10,10,7.08,Americas
Mexico,7.67,7.33,7.25,7.17,7.25,7.42,10,10,10,7.33,North America
Peru,7.42,7.42,7.17,7.33,7.42,7.42,10,10,10,7.25,Americas
Guatemala,7.42,7.33,7.25,7.42,7.42,7.5,10,10,10,7.08,Americas
Mexico,7.42,7.33,7.25,7.17,7.25,7.42,10,10,10,7.58,North America
Mexico,7.42,7.42,7.25,7.25,7.5,7.33,10,10,10,7.25,North America
Colombia,7.5,7.42,7.25,7.17,7.17,7.75,10,10,10,7.17,Americas
Colombia,7.75,7.33,7.42,7,7.33,7.25,10,10,10,7.33,Americas
United States (Hawaii),7.83,7,7,7.58,7.58,7.5,10,10,10,6.92,North America
Colombia,7.5,7.33,7.33,7.17,7.33,7.42,10,10,10,7.25,Americas
Honduras,7.5,7.5,7,7.17,7.5,7.33,10,10,10,7.33,Americas
Mexico,7.67,7.42,7,7.42,7.58,7.08,10,10,10,7.17,North America
Brazil,7.25,7.33,7.33,7.33,7.33,7.42,10,10,10,7.33,Americas
Honduras,7.58,7.42,7.17,7.42,7.17,7.17,10,10,10,7.42,Americas
Brazil,7.17,7.33,7.42,7.25,7.42,7.33,10,10,10,7.42,Americas
Philippines,7.08,7.33,7.42,7.33,7.33,7.5,10,10,10,7.33,Asia
Malawi,7.75,7.33,7.08,7.33,7.33,7.25,10,10,10,7.25,Africa
Honduras,7.33,7.33,7.17,7.33,7.5,7.33,10,10,10,7.33,Americas
Mexico,7.58,7.42,7.25,7.33,7.25,7.25,10,10,10,7.25,North America
Mexico,7.33,7.25,7.17,7.42,7.58,7.33,10,10,10,7.25,North America
Brazil,7.5,7.58,7.5,7.5,7.75,7.83,9.33,9.33,9.33,7.58,Americas
Taiwan,7.83,7.75,7.67,7.83,7.83,7.75,9.33,10,10,5.25,Asia
Brazil,7.17,7.42,7.17,7.08,6.92,8.17,10,10,10,7.33,Americas
